tag,generation,blanket_family,plasma_radius_cm,blanket_thickness,lithium_thickness,reflector_inner_material,reflector_outer_material,reflector_inner_thickness,reflector_outer_thickness,l1_pack,l3_pack,l4_pack,li6,split,blanket_model,TBR,blanket_attenuation,blanket_front_heating_frac,net_electric,net_electric_raw,wall_load,wall_temp,fail_rate,score,fitness
g07_m00,7,Li2O_W_Ti_B4C_Li2O,56.818,4.2659,0.004875,Be12Ti,W_Ti_B4C_60_30_10_wt,1.762,1.104,1.1693,1.013,1.0,0.9,"(0.389935, 0.152516, 0.280094, 0.177454)",openmc,0.5908291998650121,1.0,0.10985362466376061,2071.998501812564,2072.187072480849,3.5755120956312356,346.8557405663303,0.013000113385346174,-110170.86464855651,17956.2933884949
g07_m12,7,Li2O_W_Ti_B4C_Li2O,47.734,5.0,0.004681,Be12Ti,Be12Ti,0.6251,0.7639,1.25,1.0462,1.0388,0.9,"(0.461507, 0.111718, 0.426775, 0.0)",openmc,0.5897903430965095,1.0,0.10828304068430249,2071.998501812564,2072.187072480849,3.5788350019077457,333.05266083917786,0.013000113385346174,-110589.66807528405,17925.316155517354
g07_m06,7,Li2O_W_Ti_B4C_Li2O,43.028,4.2781,0.004689,Be12Ti,W_Ti_B4C_60_30_10_wt,2.7358,0.7096,1.25,1.0997,1.0906,0.9,"(0.397269, 0.093025, 0.301366, 0.208341)",openmc,0.589449611385241,1.0,0.10799560750021643,2071.998501812564,2072.187072480849,3.5786978527546096,333.6218600031841,0.013000113385346174,-110197.55501975308,17915.128696161388
g07_m04,7,Li2O_W_Ti_B4C_Li2O,46.862,4.5984,0.004854,Be,W_Ti_B4C_60_30_10_wt,1.6002,0.9016,1.0808,1.0,1.0239,0.903,"(0.4, 0.097409, 0.3, 0.202591)",openmc,0.5852822066837037,1.0,0.10784612518012644,2071.998501812564,2072.187072480849,3.5758714938197667,345.3615927608138,0.013000113385346174,-110426.01992627615,17790.12449299368
g07_m07,7,Li2O_W_Ti_B4C_Li2O,45.671,5.0,0.004431,Be,W_Ti_B4C_60_30_10_wt,1.5122,0.9396,1.1693,1.0,1.0,0.9,"(0.4, 0.15, 0.3, 0.15)",openmc,0.5826576434500068,1.0,0.10640681398668005,2071.998501812564,2072.187072480849,3.5831262164289144,315.2651869639815,0.013000113385346174,-110696.65856998159,17711.560313325986
g07_m01,7,Li2O_W_Ti_B4C_Li2O,46.862,4.5317,0.004431,Be12Ti,W_Ti_B4C_60_30_10_wt,1.762,0.9016,1.1693,1.0,1.0,0.9,"(0.4, 0.15, 0.3, 0.15)",openmc,0.5819470840007145,1.0,0.10628767745706441,2071.998501812564,2072.187072480849,3.5831262164289144,315.2651869639815,0.013000113385346174,-110440.13495292098,17690.257826230772
g07_m02,7,Li2O_W_Ti_B4C_Li2O,52.15,4.2781,0.004273,Be12Ti,Be12Ti,2.403,0.8896,1.2268,1.0997,1.0,0.9,"(0.397269, 0.093025, 0.301366, 0.208341)",openmc,0.5819447406388566,1.0,0.10638199672760851,2071.998501812564,2072.187072480849,3.5858435751156286,304.0235034748573,0.013000113385346174,-110310.12808094885,17690.17620706257
g07_m11,7,Li2O_W_Ti_B4C_Li2O,46.191,5.0,0.004431,Be12Ti,W_Ti_B4C_60_30_10_wt,2.2838,0.9016,1.1693,1.0722,1.0,0.9,"(0.4, 0.2, 0.3, 0.1)",openmc,0.5817355958962449,1.0,0.10618328574104528,2071.998501812564,2072.187072480849,3.5831262164289144,315.2651869639815,0.013000113385346174,-110710.48928328803,17683.92571010261
g07_m10,7,Li2O_W_Ti_B4C_Li2O,51.112,4.603,0.004249,Be12Ti,W_Ti_B4C_60_30_10_wt,1.5186,1.2648,1.228,1.0,1.0496,0.9,"(0.4, 0.15, 0.3, 0.15)",openmc,0.5816008055828905,1.0,0.10616633869808617,2071.998501812564,2072.187072480849,3.5862566990808684,302.31590598283844,0.013000113385346174,-110483.74385798835,17679.884034347127
g07_m05,7,Li2O_W_Ti_B4C_Li2O,44.723,4.6878,0.004273,Be12Ti,W_Ti_B4C_60_30_10_wt,2.403,1.1532,1.2268,1.0997,1.0,0.9,"(0.404569, 0.070419, 0.288527, 0.236485)",openmc,0.5807631163752707,1.0,0.105551744684779,2071.998501812564,2072.187072480849,3.5858435751156286,304.0235034748573,0.013000113385346174,-110543.05638330264,17654.827109400132
g07_m08,7,Li2O_W_Ti_B4C_Li2O,52.743,5.0,0.004075,Be12Ti,W_Ti_B4C_60_30_10_wt,1.1341,0.4467,1.25,1.0,1.1876,0.9109,"(0.383335, 0.191183, 0.349295, 0.076188)",openmc,0.5772338501015679,1.0,0.10501537916260582,2071.998501812564,2072.187072480849,3.589254697037793,289.9358241657017,0.013000113385346174,-110778.01547020818,17549.01348505171
